p_val avg_log2FC pct.1 pct.2 p_val_adj cluster gene
158 1.02731453569494e-165 3.31845468102752 0.303 0.055 1.615760301741e-161 1 Ces1f
159 3.96763838260374e-164 2.66819197747409 0.35 0.073 6.24030164815916e-160 1 Tll1
160 3.67987788693715e-157 2.39045816573961 0.288 0.05 5.78771194057475e-153 1 Cldn22
161 1.60276953907013e-152 1.6098713762587 0.665 0.311 2.5208359310495e-148 1 Ascc2
162 1.0114574823896e-141 1.83201593740423 0.308 0.064 1.59082032830236e-137 1 Tstd1
163 3.08865795059692e-141 1.53246437499159 0.462 0.144 4.85784122469884e-137 1 Slc1a1
164 6.52268917378741e-141 1.56060912673645 0.498 0.17 1.02588855325328e-136 1 Galnt5
165 9.31066391188508e-141 1.49419737729273 0.421 0.12 1.46438122006128e-136 1 Fcgbp
166 1.04814883515898e-139 1.79238442219534 0.316 0.069 1.64852848793804e-135 1 Hp
167 2.13769809095133e-139 1.68850864659627 0.63 0.279 3.36217155744825e-135 1 Porcn
168 7.54730790394859e-139 2.24240132994836 0.503 0.178 1.18704058713303e-134 1 B430010I23Rik
169 4.73854563617128e-136 1.60878632553837 0.737 0.396 7.4527845765702e-132 1 Lyst
170 5.42924664796679e-136 1.75036401294877 0.451 0.145 8.53911912792216e-132 1 Ces1e
171 2.37790119520885e-135 1.5695851262715 0.417 0.122 3.73996299982448e-131 1 Atp2c2
172 1.06414895497481e-133 2.07992746071251 0.331 0.078 1.67369347638439e-129 1 Cxcl5
173 3.63618098106955e-129 1.51163060666382 0.582 0.238 5.71898544702619e-125 1 Ppp1r9a
174 5.82805467624205e-124 1.79920931024446 0.438 0.147 9.1663643947935e-120 1 Faah
175 5.86203667961012e-122 2.40716676823797 0.275 0.06 9.2198112896908e-118 1 Clca1
176 1.15498255639032e-118 1.59301789512286 0.484 0.18 1.8165565646907e-114 1 Igsf5
177 5.76862579147986e-117 1.55596245584286 0.599 0.27 9.07289464483953e-113 1 Lgr6
178 6.69547144212195e-114 1.79248440973486 0.426 0.148 1.05306374841694e-109 1 1810010H24Rik
179 7.46341886646386e-112 1.61869237712428 0.332 0.093 1.17384651931744e-107 1 Cyfip2
